timestamp,pid,wall_s,cpu_s,ws_mb,threads
2026-08-24T17:01:34.5096952-05:00,9208,136,172,2093,27
2026-08-24T17:03:34.5176837-05:00,9208,256,345,3871,40
2026-08-24T17:05:34.5289970-05:00,9208,376,469,3880,30
2026-08-24T17:07:34.5419997-05:00,9208,496,653,5522,39
2026-08-24T17:09:34.5637271-05:00,9208,616,818,6459,29
2026-08-24T17:11:34.5771054-05:00,9208,736,937,6459,27
2026-08-24T17:13:34.6005528-05:00,9208,856,1496,6747,40
2026-08-24T17:15:34.6066729-05:00,9208,976,1891,8403,41
2026-08-24T17:17:34.6098935-05:00,9208,1096,2011,8426,27
2026-08-24T17:19:34.6261577-05:00,9208,1216,2130,8434,27
2026-08-24T17:21:34.6550562-05:00,9208,1336,2250,8446,27
2026-08-24T17:23:34.6775388-05:00,9208,1456,2370,8449,27
2026-08-24T17:25:34.7075540-05:00,9208,1576,2490,8453,27
2026-08-24T17:27:34.7171607-05:00,9208,1696,2610,8456,27
2026-08-24T17:29:34.7172084-05:00,9208,1816,2730,8018,27
2026-08-24T17:31:34.7269423-05:00,9208,1936,2849,8037,27
2026-08-24T17:33:34.7414651-05:00,9208,2056,2969,8040,27
2026-08-24T17:35:34.7503198-05:00,9208,2177,3089,8042,27
2026-08-24T17:37:34.7651641-05:00,9208,2297,3209,8047,27
2026-08-24T17:39:34.7738436-05:00,9208,2417,3328,8063,27
2026-08-24T17:41:34.7888474-05:00,9208,2537,3448,8076,27
2026-08-24T17:43:34.8039381-05:00,9208,2657,3568,8082,27
2026-08-24T17:45:34.8286717-05:00,9208,2777,3688,8077,27
2026-08-24T17:47:34.8536853-05:00,9208,2897,3808,8081,27
2026-08-24T17:49:34.8741451-05:00,9208,3017,3927,8085,27
2026-08-24T17:51:34.8893298-05:00,9208,3137,4047,8088,27
2026-08-24T17:53:34.9016163-05:00,9208,3257,4167,8091,27
2026-08-24T17:55:34.9242567-05:00,9208,3377,4287,8094,27
2026-08-24T17:57:34.9310448-05:00,9208,3497,4406,8097,27
2026-08-24T17:59:34.9435177-05:00,9208,3617,4538,8259,27
2026-08-24T18:01:34.9478650-05:00,9208,3737,4657,8259,27
2026-08-24T18:03:34.9486437-05:00,9208,3857,4777,7872,27
2026-08-24T18:05:34.9625098-05:00,9208,3977,4897,7873,27
2026-08-24T18:07:34.9647415-05:00,9208,4097,5017,7874,27
2026-08-24T18:09:34.9804471-05:00,9208,4217,5137,7876,27
2026-08-24T18:11:35.0036902-05:00,9208,4337,5256,7877,27
2026-08-24T18:13:35.0210593-05:00,9208,4457,5376,7877,27
2026-08-24T18:15:35.0274839-05:00,9208,4577,5496,7877,27
2026-08-24T18:17:35.0282879-05:00,9208,4697,5615,7861,27
2026-08-24T18:19:35.0436178-05:00,9208,4817,5735,7863,27
2026-08-24T18:21:35.0455547-05:00,9208,4937,5855,7864,27
2026-08-24T18:23:35.0596729-05:00,9208,5057,5975,7865,27
2026-08-24T18:25:35.0832638-05:00,9208,5177,6095,7866,27
2026-08-24T18:27:35.1032078-05:00,9208,5297,6214,7867,27
